id;nome;cpf;data_nascimento;tipo;criacao
1;Buckinghamshire transmitting;multimedia;2022-04-05;ALUNO;2022-04-05T10:05:57
2;benchmark Account primary;esmeralda connecting system;2022-04-05;PROFESSOR;2022-04-05T20:39:36
3;Somoni convergence;Amapá Licenciado Bedfordshire;2022-04-05;PROFESSOR;2022-04-06T01:07:33
4;Triple-buffered;program Forward;2022-04-05;ALUNO;2022-04-05T05:44:28
5;Marginal;PCI Rial Toalhas;2022-04-05;ALUNO;2022-04-05T15:35:02
6;generation bronze;Bedfordshire Cuba navigating;2022-04-05;PROFESSOR;2022-04-05T06:47:05
7;Gostoso;Luvas motivating virtual;2022-04-06;PROFESSOR;2022-04-05T23:51:35
8;Intuitive;auxiliary Human;2022-04-05;PROFESSOR;2022-04-05T11:05:08
9;Rio collaborative Investment;virtual;2022-04-05;PROFESSOR;2022-04-05T05:27:45
10;CSS;Refinado Uganda;2022-04-05;PROFESSOR;2022-04-05T21:15:31
